door,account,Current Rep Owner,Delivery
Green Dot Collective (Erba Venice),* Independent Kiva Sales & Service,Jen ,No
Green Pearl,* Independent Kiva Sales & Service,Ryan,No
Greenlight Discount Pharmacy,* Independent Kiva Sales & Service,Ryan,No
Hall of Flowers 2019 (Community Gardens Inc.),* Independent Kiva Sales & Service,NA - DTC,No
Happy Leaf,* Independent Kiva Sales & Service,Ryan,No
HCMA,* Independent Kiva Sales & Service,Ryan,No
HEMPSVISION,* Independent Kiva Sales & Service,Ryan,No
Herb Delivery LA,* Independent Kiva Sales & Service,Ryan,No
Herb N Joy - Goleta,* Independent Kiva Sales & Service,Ryan,No
Herbal Cruz,* Independent Kiva Sales & Service,Ryan,No
"Herbal Remedies Caregivers, Inc.",* Independent Kiva Sales & Service,Ryan,No
Herban Legend,* Independent Kiva Sales & Service,Ryan,No
Herbarium,* Independent Kiva Sales & Service,Ryan,No
HHC,* Independent Kiva Sales & Service,Ryan,No
"High Hacks Holdings, Inc.",* Independent Kiva Sales & Service,Ryan,No
Higher Vision,* Independent Kiva Sales & Service,Ryan,No
Hightend,* Independent Kiva Sales & Service,Ryan,No
"HOME GROWN HOLISTIC COLLECTIVE, INC.",* Independent Kiva Sales & Service,Ryan,No
HOTN Cultivation Co.,* Independent Kiva Sales & Service,Ryan,No
HSC Solutions,* Independent Kiva Sales & Service,Ryan,No
HYBRID LA,* Independent Kiva Sales & Service,Ryan,No
Iguana Collective,* Independent Kiva Sales & Service,Ryan,No
iLyfted - NoHo,* Independent Kiva Sales & Service,Ryan,No
iLyfted Studio City,* Independent Kiva Sales & Service,Ryan,No
"Jaguar Logistics Group, LLC",* Independent Kiva Sales & Service,Ryan,No
JAHnetics Delivery,* Independent Kiva Sales & Service,Ryan,No
Joy of Wellness of Palm Springs,* Independent Kiva Sales & Service,Ryan,No
Kush Alley - Medicinal,* Independent Kiva Sales & Service,Ryan,No
L.B. Collective,* Independent Kiva Sales & Service,Ryan,No
La Brea Collective,* Independent Kiva Sales & Service,Ryan,No
LAX CC,* Independent Kiva Sales & Service,Ryan,No
Long Beach Wellness Center,* Independent Kiva Sales & Service,Ryan,No
Los Angeles Kush #1,* Independent Kiva Sales & Service,Ryan,No
"LYTT, LLC",* Independent Kiva Sales & Service,Ryan,No
M&M Telegraph Inc,* Independent Kiva Sales & Service,Ryan,No
Making You Smile,* Independent Kiva Sales & Service,Ryan,No
Marie's Deliverables,* Independent Kiva Sales & Service,Ryan,No
Marina Caregivers,* Independent Kiva Sales & Service,Ryan,No
Marina Caregivers / Highway,* Independent Kiva Sales & Service,Ryan,No
MARY JANE'S COLLECTIVE CAREGIVERS,* Independent Kiva Sales & Service,Ryan,No
MCEC - Medical cannabis education center,* Independent Kiva Sales & Service,Ryan,No
Mission Cannabis Club (Shambhala Healing Center),* Independent Kiva Sales & Service,Ryan,No
MISSION ORGANIC CENTER,* Independent Kiva Sales & Service,Ryan,No
New Amsterdam Naturals,* Independent Kiva Sales & Service,Ryan,No
Northern Erudite Ventures,* Independent Kiva Sales & Service,Ryan,No
Off the Charts - Palm Springs,* Independent Kiva Sales & Service,Ryan,No
OG Cannabis Cafe,* Independent Kiva Sales & Service,Ryan,But need to confirm if active
PAC LA,* Independent Kiva Sales & Service,Ryan,No
Pacific Paradise Retailer Corp,* Independent Kiva Sales & Service,Ryan,No
Phytologie Wellness Center - Micro,* Independent Kiva Sales & Service,Ryan,No
Planet Budz,* Independent Kiva Sales & Service,Ryan,No
Plantacea,* Independent Kiva Sales & Service,Ryan,No
PORT RETAIL LLC : Leaf and Lion,* Independent Kiva Sales & Service,Ryan,No
Proper Wellness Inc (Rio Dell),* Independent Kiva Sales & Service,Ryan,No
Proper Wellness Inc.,* Independent Kiva Sales & Service,Ryan,No
PSA Organica,* Independent Kiva Sales & Service,Ryan,No
Pure CA,* Independent Kiva Sales & Service,Ryan,No
PureLife,* Independent Kiva Sales & Service,Ryan,No
Remedy,* Independent Kiva Sales & Service,Ryan,No
Rockstar Cannabis Club Inc,* Independent Kiva Sales & Service,Ryan,No
Roots,* Independent Kiva Sales & Service,Ryan,No
Rose Collective,* Independent Kiva Sales & Service,Ryan,No
Sacramento Confidential Delivery,* Independent Kiva Sales & Service,Ryan,No
Santa Barbara Collective,* Independent Kiva Sales & Service,Ryan,No
"Satlla, Inc",* Independent Kiva Sales & Service,Ryan,No
Semilla HRC,* Independent Kiva Sales & Service,Ryan,No
Shango,* Independent Kiva Sales & Service,Ryan,No
Shatter,* Independent Kiva Sales & Service,Ryan,No
Silverlake Caregivers Group,* Independent Kiva Sales & Service,Ryan,No
Sixty-Four and Hope (La Cienega),* Independent Kiva Sales & Service,Ryan,No
SkyHigh,* Independent Kiva Sales & Service,Ryan,No
"Sonoma Patient Group, Inc.",* Independent Kiva Sales & Service,Ryan,No
Strain Balboa Caregivers,* Independent Kiva Sales & Service,Ryan,No
Sugar Budz,* Independent Kiva Sales & Service,Ryan,No
Sun Valley Caregivers,* Independent Kiva Sales & Service,Ryan,No
Taste,* Independent Kiva Sales & Service,Ryan,No
THE COOKIE COMPANY,* Independent Kiva Sales & Service,Ryan,No
The Coughy Shop,* Independent Kiva Sales & Service,Ryan,No
The Green Peakz LLC,* Independent Kiva Sales & Service,Ryan,No
"The Grove La Mesa, Inc. - Medicinal",* Independent Kiva Sales & Service,Ryan,No
The Guild - Micro,* Independent Kiva Sales & Service,Ryan,No
The Healing Center Needles,* Independent Kiva Sales & Service,Ryan,No
The Higher Conscious,* Independent Kiva Sales & Service,Ryan,No
The Humboldt County Collective,* Independent Kiva Sales & Service,Ryan,No
The Leonard Moore Cooperative,* Independent Kiva Sales & Service,Ryan,No
The M.O.C.,* Independent Kiva Sales & Service,Ryan,No
The People's Remedy - Distro,* Independent Kiva Sales & Service,Ryan,No
The Prime Leaf,* Independent Kiva Sales & Service,Ryan,No
The Reefinery - Micro,* Independent Kiva Sales & Service,Ryan,No
The Spot - Halladay,* Independent Kiva Sales & Service,Ryan,But need to confirm if active
The Westwood Farmacy,* Independent Kiva Sales & Service,Ryan,No
Therapeutic Healthcare Collective,* Independent Kiva Sales & Service,Ryan,No
Treeo,* Independent Kiva Sales & Service,Ryan,No
Triple C Collective,* Independent Kiva Sales & Service,Ryan,No
Underground Medicinals Inc,* Independent Kiva Sales & Service,Ryan,No
Unified Patients Alliance,* Independent Kiva Sales & Service,Ryan,No
Union Station,* Independent Kiva Sales & Service,Ryan,No
Universal Herbal Center,* Independent Kiva Sales & Service,Ryan,No
Vapor Room,* Independent Kiva Sales & Service,Ryan,No
VERSAGENIX INC.,* Independent Kiva Sales & Service,Ryan,No
Vista TradeCraft,* Independent Kiva Sales & Service,Ryan,But need to confirm if active
"West Cliff Provisions, Inc.",* Independent Kiva Sales & Service,Ryan,No
Wheel House,* Independent Kiva Sales & Service,Ryan,No
WHTC,* Independent Kiva Sales & Service,Ryan,No
Zenganic,* Independent Kiva Sales & Service,Ryan,No
