,0,1,2,3
0,Company,Date,Months,$Vol
1,(INACTIVE) Sol Distro,1/28/2022,Jan,"$1,404.00"
2,(Inactive)Harvest - Palm Springs,1/12/2022,Jan,$0.18
3,(Inactive)Harvest - Palm Springs,2/2/2022,Feb,$168.16
4,(Inactive)Harvest - Palm Springs,2/16/2022,Feb,$0.12
5,(Inactive)Harvest - Palm Springs,3/2/2022,Mar,$280.00
6,(Inactive)Harvest - Palm Springs,4/11/2022,Apr,$180.00
7,(Inactive)Harvest - Palm Springs,5/16/2022,May,$328.00
8,(Inactive)Harvest - Palm Springs,6/13/2022,Jun,$144.00
9,(Inactive)Harvest - Palm Springs,7/18/2022,Jul,$72.00
10,(Inactive)Harvest - Pasadena,2/23/2022,Feb,"$2,164.86"
11,(Inactive)Secure Hauling,8/1/2022,Aug,$15.00
12,101 M Street Dispensary Inc,11/1/2022,Nov,$108.00
13,105TH MANAGEMENT,1/20/2022,Jan,$0.04
14,1841 El Camino (Horizon),10/27/2022,Oct,$0.01
15,2ONE2 California,1/24/2022,Jan,$216.00
16,2ONE2 California,2/21/2022,Feb,$144.00
17,2ONE2 California,4/18/2022,Apr,$324.00
18,2ONE2 California,5/16/2022,May,$252.00
19,2ONE2 California,6/30/2022,Jun,$480.00
20,2ONE2 California,8/24/2022,Aug,$336.00
21,3 Bros Midtown,1/26/2022,Jan,$706.00
22,3 Bros Midtown,3/9/2022,Mar,$0.92
23,3 Bros Santa Cruz,1/5/2022,Jan,$144.00
24,3 Bros Santa Cruz,1/24/2022,Jan,$348.00
25,3 Bros Santa Cruz,2/2/2022,Feb,$703.00
26,3 Bros Santa Cruz,2/28/2022,Feb,$672.00
27,3 Bros Santa Cruz,3/28/2022,Mar,$732.00
28,3 Bros Santa Cruz,4/25/2022,Apr,$832.00
29,3 Bros Santa Cruz,5/23/2022,May,$672.00
30,3 Bros Santa Cruz,6/22/2022,Jun,"$1,224.00"
31,3 Bros Santa Cruz,7/11/2022,Jul,$432.00
32,3 Bros Santa Cruz,7/18/2022,Jul,$0.12
33,3 Bros Santa Cruz,8/1/2022,Aug,"$1,056.00"
34,3 Bros Santa Cruz,8/22/2022,Aug,$0.24
35,3 Bros Santa Cruz,8/31/2022,Aug,$912.00
36,3 Bros Santa Cruz,10/3/2022,Oct,$684.00
37,3 Bros Santa Cruz,10/10/2022,Oct,$0.10
38,3 Bros Santa Cruz,10/26/2022,Oct,"$1,123.00"
39,365 Recreational Cannabis,1/13/2022,Jan,$144.00
40,365 Recreational Cannabis,3/10/2022,Mar,$144.00
41,365 Recreational Cannabis,3/24/2022,Mar,$72.00
42,365 Recreational Cannabis,3/31/2022,Mar,$72.00
43,365 Recreational Cannabis,4/7/2022,Apr,$72.00
44,365 Recreational Cannabis,4/14/2022,Apr,$72.00
45,365 Recreational Cannabis,4/21/2022,Apr,$144.00
46,365 Recreational Cannabis,5/5/2022,May,$72.00
47,365 Recreational Cannabis,5/23/2022,May,$216.00
48,365 Recreational Cannabis,6/23/2022,Jun,$288.00
49,365 Recreational Cannabis,7/7/2022,Jul,"$1,008.00"
50,365 Recreational Cannabis,8/4/2022,Aug,$576.00
51,365 Recreational Cannabis,8/22/2022,Aug,$0.04
52,365 Recreational Cannabis,9/1/2022,Sep,$720.02
53,365 Recreational Cannabis,9/22/2022,Sep,$396.00
54,365 Recreational Cannabis,10/27/2022,Oct,$0.36
55,365 Recreational Cannabis,11/3/2022,Nov,$576.00
56,420 Central,11/2/2022,Nov,$0.12
57,420 Central,11/9/2022,Nov,$0.03
58,7 Stars Holistic Healing Center,8/5/2022,Aug,$0.06
59,7 Stars Holistic Healing Center,8/19/2022,Aug,$504.00
60,7 Stars Holistic Healing Center,9/9/2022,Sep,$0.96
61,7 Stars Holistic Healing Center,9/23/2022,Sep,$264.00
62,7 Stars Holistic Healing Center,10/14/2022,Oct,$192.00
63,7 Stars Holistic Healing Center,10/21/2022,Oct,$72.25
64,7 Stars Holistic Healing Center,10/28/2022,Oct,$0.20
65,7 Stars Holistic Healing Center,11/11/2022,Nov,$1.80
66,A Therapeutic Alternative,10/4/2022,Oct,$0.01
67,A Therapeutic Alternative,11/1/2022,Nov,$0.01
68,Abatin Wellness Center,5/17/2022,May,$0.01
69,Abatin Wellness Center,10/4/2022,Oct,$0.01
70,Abatin Wellness Center,10/11/2022,Oct,$0.02
71,Abatin Wellness Center,11/1/2022,Nov,$0.02
72,ABIDE NAPA,1/21/2022,Jan,$216.00
73,AHHS Weho,1/12/2022,Jan,"$1,560.00"
74,AHHS Weho,4/5/2022,Apr,$360.00
75,AHHS Weho,9/20/2022,Sep,$0.20
76,AHHS Weho,11/15/2022,Nov,$0.06
77,Airfield Supply Co.,1/5/2022,Jan,"$2,640.00"
78,Airfield Supply Co.,1/12/2022,Jan,"$2,456.00"
79,Airfield Supply Co.,1/19/2022,Jan,"$3,776.00"
80,Airfield Supply Co.,2/9/2022,Feb,"$1,912.00"
81,Airfield Supply Co.,2/16/2022,Feb,"$1,908.00"
82,Airfield Supply Co.,2/23/2022,Feb,"$1,368.00"
83,Airfield Supply Co.,3/2/2022,Mar,$768.00
84,Airfield Supply Co.,3/9/2022,Mar,"$1,080.00"
85,Airfield Supply Co.,3/16/2022,Mar,"$1,345.00"
86,Airfield Supply Co.,3/23/2022,Mar,"$4,644.00"
87,Airfield Supply Co.,3/30/2022,Mar,$360.00
88,Airfield Supply Co.,4/1/2022,Apr,($368.60)
89,Airfield Supply Co.,4/5/2022,Apr,"($1,249.20)"
90,Airfield Supply Co.,4/8/2022,Apr,$0.48
91,Airfield Supply Co.,4/11/2022,Apr,"($1,220.66)"
92,Airfield Supply Co.,4/12/2022,Apr,$610.33
93,Airfield Supply Co.,4/18/2022,Apr,($388.32)
94,Airfield Supply Co.,4/20/2022,Apr,$984.00
95,Airfield Supply Co.,4/21/2022,Apr,($123.20)
96,Airfield Supply Co.,4/29/2022,Apr,"$3,426.00"
97,Airfield Supply Co.,5/4/2022,May,"($1,890.40)"
98,Airfield Supply Co.,5/9/2022,May,"$1,890.40"
99,Airfield Supply Co.,5/13/2022,May,"$1,044.00"
100,Airfield Supply Co.,5/17/2022,May,($187.30)
101,Airfield Supply Co.,5/20/2022,May,"$2,160.00"
102,Airfield Supply Co.,5/24/2022,May,($318.20)
103,Airfield Supply Co.,5/27/2022,May,"$2,100.00"
104,Airfield Supply Co.,6/3/2022,Jun,"$1,080.00"
105,Airfield Supply Co.,6/10/2022,Jun,"$1,728.00"
106,Airfield Supply Co.,6/17/2022,Jun,($888.20)
107,Airfield Supply Co.,6/24/2022,Jun,$504.00
108,Airfield Supply Co.,7/8/2022,Jul,"$4,032.00"
109,Airfield Supply Co.,7/15/2022,Jul,$288.12
110,Airfield Supply Co.,7/22/2022,Jul,$505.62
111,Airfield Supply Co.,7/29/2022,Jul,"$1,441.68"
112,Airfield Supply Co.,8/5/2022,Aug,"$3,096.60"
113,Airfield Supply Co.,8/19/2022,Aug,$432.00
114,Airfield Supply Co.,8/26/2022,Aug,"$1,297.00"
115,Airfield Supply Co.,9/2/2022,Sep,$936.00
116,Airfield Supply Co.,9/7/2022,Sep,($72.00)
117,Airfield Supply Co.,9/9/2022,Sep,"$2,160.00"
118,Airfield Supply Co.,9/16/2022,Sep,$360.00
119,Airfield Supply Co.,9/23/2022,Sep,"$1,728.05"
120,Airfield Supply Co.,9/30/2022,Sep,$453.60
121,Airfield Supply Co.,10/7/2022,Oct,"$1,872.00"
122,Airfield Supply Co.,10/14/2022,Oct,$540.00
123,Airfield Supply Co.,10/21/2022,Oct,$2.62
124,Airfield Supply Co.,10/28/2022,Oct,"$2,340.00"
125,Airfield Supply Co.,11/4/2022,Nov,$0.02
126,Airfield Supply Co.,11/11/2022,Nov,$576.00
127,Alexander Valley Organics Inc.,4/27/2022,Apr,$120.00
128,Alexander Valley Organics Inc.,6/22/2022,Jun,$144.00
129,Alexander Valley Organics Inc.,7/20/2022,Jul,$72.00
130,Alexander Valley Organics Inc.,8/17/2022,Aug,$72.00
131,Alexander Valley Organics Inc.,11/9/2022,Nov,$0.02
132,All Natural Inc,2/21/2022,Feb,$72.04
133,All Natural Inc,3/7/2022,Mar,$108.00
134,All Natural Inc,4/28/2022,Apr,$72.00
135,All Natural Inc,5/23/2022,May,$72.11
136,All Natural Inc,6/16/2022,Jun,$96.00
137,All Natural Inc,6/30/2022,Jun,$264.01
138,All Natural Inc,7/21/2022,Jul,$144.00
139,"Aloha Aina, Inc",1/24/2022,Jan,$72.00
140,"Aloha Aina, Inc",3/17/2022,Mar,$108.00
141,"Aloha Aina, Inc",4/14/2022,Apr,$108.00
142,"Aloha Aina, Inc",5/12/2022,May,$108.00
143,"Aloha Aina, Inc",6/27/2022,Jun,$192.00
144,"Aloha Aina, Inc",7/28/2022,Jul,$192.06
145,Alpha Core Inc.-Distro,1/20/2022,Jan,$0.04
146,AMC,1/4/2022,Jan,$108.12
147,AMC,1/10/2022,Jan,$144.00
148,AMC,1/18/2022,Jan,$72.00
149,AMC,1/24/2022,Jan,$72.00
150,AMC,2/21/2022,Feb,$108.00
151,AMC,3/7/2022,Mar,$36.33
152,AMC,3/21/2022,Mar,$108.00
153,AMC,3/28/2022,Mar,$108.00
154,AMC,4/18/2022,Apr,$36.00
155,AMC,4/25/2022,Apr,$108.00
156,AMC,7/5/2022,Jul,$144.00
157,AMC,7/18/2022,Jul,$96.00
158,AMC,8/1/2022,Aug,$144.00
159,AMC,8/8/2022,Aug,$48.00
160,AMC,8/29/2022,Aug,$144.00
161,AMC,9/12/2022,Sep,$48.00
162,AMC,9/26/2022,Sep,$108.24
163,AMC,11/7/2022,Nov,$220.83
164,Amuse - Culver City,1/14/2022,Jan,$0.16
165,Amuse - Culver City,1/21/2022,Jan,$0.16
166,Amuse - Culver City,1/28/2022,Jan,$0.16
167,Amuse - Culver City,2/18/2022,Feb,$630.00
168,Amuse - Culver City,2/25/2022,Feb,$1.00
169,Amuse - Culver City,3/4/2022,Mar,$108.09
170,Amuse - Culver City,3/18/2022,Mar,$354.00
171,Amuse - Culver City,4/8/2022,Apr,$432.00
172,Amuse - Culver City,4/15/2022,Apr,$432.00
173,Amuse - Culver City,4/22/2022,Apr,"$1,566.00"
174,Amuse - Culver City,4/29/2022,Apr,"$1,380.00"
175,Amuse - Culver City,5/2/2022,May,($501.08)
176,Amuse - Culver City,5/6/2022,May,$360.00
177,Amuse - Culver City,5/13/2022,May,$996.00
178,Amuse - Culver City,5/20/2022,May,$348.00
179,Amuse - Culver City,5/27/2022,May,$546.00
180,Amuse - Culver City,6/3/2022,Jun,$336.00
181,Amuse - Culver City,6/6/2022,Jun,"($2,379.01)"
182,Amuse - Culver City,6/10/2022,Jun,$168.00
183,Amuse - Culver City,6/17/2022,Jun,$264.00
184,Amuse - Culver City,6/24/2022,Jun,$744.00
185,Amuse - Culver City,7/22/2022,Jul,$456.00
186,Amuse - Culver City,7/29/2022,Jul,"$1,152.00"
187,Amuse - Culver City,8/12/2022,Aug,$192.54
188,Amuse - Culver City,8/17/2022,Aug,($75.60)
189,Amuse - Culver City,8/26/2022,Aug,$504.00
190,Amuse - Culver City,9/2/2022,Sep,$312.00
191,Amuse - Culver City,9/9/2022,Sep,$240.00
192,Amuse - Culver City,9/30/2022,Sep,$168.03
193,Amuse - Culver City,10/17/2022,Oct,$168.00
194,Amuse - Culver City,10/31/2022,Oct,$384.04
195,Amuse - Culver City,11/7/2022,Nov,$0.03
196,Amuse - Lynwood,1/6/2022,Jan,$0.20
197,Amuse - Lynwood,1/13/2022,Jan,$180.00
198,Amuse - Lynwood,1/20/2022,Jan,$0.12
199,Amuse - Lynwood,1/27/2022,Jan,$0.20
200,Amuse - Lynwood,2/17/2022,Feb,$630.00
201,Amuse - Lynwood,2/24/2022,Feb,$1.00
202,Amuse - Lynwood,3/3/2022,Mar,$0.09
203,Amuse - Lynwood,4/21/2022,Apr,"$1,170.00"
204,Amuse - Lynwood,5/2/2022,May,($360.11)
205,Amuse - Lynwood,5/3/2022,May,"$1,488.00"
206,Amuse - Lynwood,5/12/2022,May,$684.00
207,Amuse - Lynwood,5/19/2022,May,$120.00
208,Amuse - Lynwood,5/26/2022,May,$588.00
209,Amuse - Lynwood,6/2/2022,Jun,$336.00
210,Amuse - Lynwood,6/6/2022,Jun,"($1,524.54)"
211,Amuse - Lynwood,6/23/2022,Jun,$768.00
212,Amuse - Lynwood,7/25/2022,Jul,$192.00
213,Amuse - Lynwood,7/28/2022,Jul,"$1,440.00"
214,Amuse - Lynwood,8/11/2022,Aug,$0.50
215,Amuse - Lynwood,8/17/2022,Aug,($54.00)
216,Amuse - Lynwood,9/1/2022,Sep,$216.00
217,Amuse - Lynwood,10/17/2022,Oct,$216.00
218,Amuse - Lynwood,10/31/2022,Oct,$336.00
219,Amuse - NCC Brisbane,1/10/2022,Jan,$0.32
220,Amuse - NCC Brisbane,1/24/2022,Jan,$504.64
221,Amuse - NCC Brisbane,2/21/2022,Feb,$479.30
222,Amuse - NCC Brisbane,3/7/2022,Mar,$378.09
223,Amuse - NCC Brisbane,3/14/2022,Mar,$236.00
224,Amuse - NCC Brisbane,4/4/2022,Apr,$924.00
225,Amuse - NCC Brisbane,4/11/2022,Apr,"$1,350.00"
226,Amuse - NCC Brisbane,4/18/2022,Apr,$216.00
227,Amuse - NCC Brisbane,4/25/2022,Apr,"$1,746.00"
228,Amuse - NCC Brisbane,4/29/2022,Apr,($643.50)
229,Amuse - NCC Brisbane,5/2/2022,May,"$1,368.00"
230,Amuse - NCC Brisbane,5/6/2022,May,$918.00
231,Amuse - NCC Brisbane,5/16/2022,May,"$1,080.00"
232,Amuse - NCC Brisbane,5/23/2022,May,$180.00
233,Amuse - NCC Brisbane,5/31/2022,May,$708.00
234,Amuse - NCC Brisbane,6/3/2022,Jun,"($2,382.50)"
235,Amuse - NCC Brisbane,6/13/2022,Jun,$144.00
236,Amuse - NCC Brisbane,6/27/2022,Jun,$384.00
237,Amuse - NCC Brisbane,7/25/2022,Jul,$648.00
238,Amuse - NCC Brisbane,8/1/2022,Aug,"$1,296.00"
239,Amuse - NCC Brisbane,8/9/2022,Aug,$0.50
240,Amuse - NCC Brisbane,8/15/2022,Aug,$384.00
241,Amuse - NCC Brisbane,8/17/2022,Aug,($32.82)
242,Amuse - NCC Brisbane,8/29/2022,Aug,$312.00
243,Amuse - NCC Brisbane,9/12/2022,Sep,$264.00
244,Amuse - NCC Brisbane,9/19/2022,Sep,$720.00
245,Amuse - NCC Brisbane,10/17/2022,Oct,$456.00
246,Amuse - NCC Brisbane,11/3/2022,Nov,$384.00
247,Amuse - OC,4/6/2022,Apr,$324.00
248,Amuse - OC,5/2/2022,May,($72.00)
249,Amuse - OC,5/4/2022,May,$432.00
250,Amuse - OC,5/11/2022,May,$324.00
251,Amuse - OC,5/18/2022,May,$324.00
252,Amuse - OC,6/6/2022,Jun,($508.50)
253,Amuse - Sacramento,1/14/2022,Jan,$243.00
254,Amuse - Sacramento,1/25/2022,Jan,$0.24
255,Amuse - Sacramento,4/5/2022,Apr,$288.00
256,Amuse - Sacramento,4/29/2022,Apr,($76.54)
257,Amuse - Sacramento,5/3/2022,May,$540.00
258,Amuse - Sacramento,5/10/2022,May,$648.00
259,Amuse - Sacramento,5/17/2022,May,$180.00
260,Amuse - Sacramento,5/24/2022,May,$216.00
261,Amuse - Sacramento,6/3/2022,Jun,($702.00)
262,Amuse - Sacramento,6/7/2022,Jun,$288.00
263,Amuse - Sacramento,6/28/2022,Jun,$288.00
264,Amuse - Sacramento,7/19/2022,Jul,$288.00
265,Amuse - Sacramento,8/2/2022,Aug,$288.00
266,Amuse - Sacramento,8/9/2022,Aug,$0.50
267,Amuse - Sacramento,8/17/2022,Aug,($21.60)
268,Amuse - Sacramento,8/23/2022,Aug,$288.00
269,Amuse - Sacramento,9/6/2022,Sep,$288.00
270,Amuse - Sacramento,9/20/2022,Sep,$192.00
271,Amuse - Sacramento,10/31/2022,Oct,$288.00
272,Amuse - San Jose,1/7/2022,Jan,$216.00
273,Amuse - San Jose,1/14/2022,Jan,$0.12
274,Amuse - San Jose,1/21/2022,Jan,$0.12
275,Amuse - San Jose,1/28/2022,Jan,$0.12
276,Amuse - San Jose,2/25/2022,Feb,$0.50
277,Amuse - San Jose,3/4/2022,Mar,$0.09
278,Amuse - San Jose,4/22/2022,Apr,$216.00
279,Amuse - San Jose,4/29/2022,Apr,($31.57)
280,Amuse - San Jose,6/3/2022,Jun,($99.00)
281,ANGEL ORGANICS HEALING CENTER,10/13/2022,Oct,$0.02
282,Apothecary,4/1/2022,Apr,$0.12
283,Ascent Mammoth,1/6/2022,Jan,"$4,612.92"
284,Ascent Mammoth,6/13/2022,Jun,$2.40
285,Ascent Mammoth,10/10/2022,Oct,$0.04
286,Ascent Mammoth,11/14/2022,Nov,$0.02
287,ASHE Society,1/14/2022,Jan,$216.10
288,ASHE Society,1/21/2022,Jan,$192.00
289,ASHE Society,1/28/2022,Jan,$252.20
290,ASHE Society,2/11/2022,Feb,$240.00
291,ASHE Society,2/18/2022,Feb,$60.00
292,ASHE Society,2/25/2022,Feb,$166.00
293,ASHE Society,3/4/2022,Mar,$0.46
294,ASHE Society,3/11/2022,Mar,$132.00
295,ASHE Society,3/18/2022,Mar,$166.00
296,ASHE Society,3/25/2022,Mar,$168.00
297,ASHE Society,3/31/2022,Mar,$202.00
298,ASHE Society,4/15/2022,Apr,$144.00
299,ASHE Society,5/6/2022,May,$606.00
300,ASHE Society,5/18/2022,May,$204.00
301,ASHE Society,6/3/2022,Jun,$288.00
302,ASHE Society,6/24/2022,Jun,$384.00
303,ASHE Society,7/8/2022,Jul,$0.08
304,ASHE Society,7/15/2022,Jul,$0.48
305,ASHE Society,7/22/2022,Jul,$720.00
306,ASHE Society,8/3/2022,Aug,$480.00
307,ASHE Society,8/12/2022,Aug,$384.40
308,ASHE Society,8/19/2022,Aug,$288.00
309,ASHE Society,8/26/2022,Aug,$360.00
310,ASHE Society,9/2/2022,Sep,$96.00
311,ASHE Society,9/16/2022,Sep,$192.00
312,ASHE Society,9/30/2022,Sep,$756.00
313,ASHE Society,10/14/2022,Oct,$720.00
314,ASHE Society,10/21/2022,Oct,$48.38
315,ASHE Society,10/28/2022,Oct,$720.00
316,Atrium,1/5/2022,Jan,$156.00
317,Atrium,1/12/2022,Jan,$420.00
318,Atrium,1/19/2022,Jan,"$1,212.00"
319,Atrium,1/26/2022,Jan,"$2,363.04"
320,Atrium,2/2/2022,Feb,"$1,002.00"
321,Atrium,2/9/2022,Feb,$948.00
322,Atrium,2/16/2022,Feb,$952.00
323,Atrium,2/23/2022,Feb,"$1,118.45"
324,Atrium,3/10/2022,Mar,"$1,863.84"
325,Atrium,3/16/2022,Mar,"$1,706.00"
326,Atrium,3/23/2022,Mar,"$1,276.53"
327,Atrium,3/30/2022,Mar,"$1,440.00"
328,Atrium,4/1/2022,Apr,($30.00)
329,Atrium,4/6/2022,Apr,$476.00
330,Atrium,4/14/2022,Apr,"$1,044.45"
331,Atrium,4/27/2022,Apr,"$2,379.00"
332,Atrium,5/4/2022,May,"$1,296.00"
333,Atrium,5/11/2022,May,"$1,005.04"
334,Atrium,5/18/2022,May,$891.36
335,Atrium,5/25/2022,May,$814.00
336,Atrium,6/1/2022,Jun,"$1,944.00"
337,Atrium,6/8/2022,Jun,"$1,344.00"
338,Atrium,6/15/2022,Jun,"$1,296.00"
339,Atrium,6/22/2022,Jun,"$1,539.00"
340,Atrium,6/29/2022,Jun,"$1,920.00"
341,Atrium,7/6/2022,Jul,"$1,080.00"
342,Atrium,7/13/2022,Jul,"$2,040.46"
343,Atrium,7/20/2022,Jul,$984.00
344,Atrium,7/27/2022,Jul,$860.20
345,Atrium,8/3/2022,Aug,"$1,320.00"
346,Atrium,8/10/2022,Aug,$912.00
347,Atrium,8/15/2022,Aug,$768.00
348,Atrium,8/24/2022,Aug,"$1,274.84"
349,Atrium,8/31/2022,Aug,$480.00
350,Atrium,9/7/2022,Sep,"$1,056.00"
351,Atrium,9/16/2022,Sep,$243.00
352,Atrium,9/21/2022,Sep,"$2,616.00"
353,Atrium,9/28/2022,Sep,$504.48
354,Atrium,10/5/2022,Oct,"$1,440.48"
355,Atrium,10/19/2022,Oct,$288.00
356,Atrium,10/26/2022,Oct,$699.00
357,Atrium,10/31/2022,Oct,$0.00
358,Atrium,11/2/2022,Nov,$864.00
359,Atrium Valley Village,1/7/2022,Jan,$252.00
360,Atrium Valley Village,1/27/2022,Jan,$216.00
361,Atrium Valley Village,2/17/2022,Feb,$308.00
362,Atrium Valley Village,3/24/2022,Mar,$288.00
363,Atrium Valley Village,4/28/2022,Apr,$272.00
364,Atrium Valley Village,6/16/2022,Jun,$624.00
365,Atrium Valley Village,7/28/2022,Jul,$240.00
366,Atrium Valley Village,10/6/2022,Oct,$432.00
367,Atrium Valley Village,11/3/2022,Nov,$192.02
368,Avenue,9/8/2022,Sep,$0.06
369,Avenue,10/12/2022,Oct,$192.00
370,B-kind,9/26/2022,Sep,$360.38
371,B-kind,10/6/2022,Oct,$360.00
372,Ball Family Farms,5/16/2022,May,$0.00
373,Barbary Coast,1/12/2022,Jan,$312.00
374,Barbary Coast,1/26/2022,Jan,$108.00
375,Barbary Coast,2/2/2022,Feb,$96.00
376,Barbary Coast,2/16/2022,Feb,$72.00
377,Barbary Coast,3/9/2022,Mar,$90.00
378,Barbary Coast,3/30/2022,Mar,$430.00
379,Barbary Coast,4/13/2022,Apr,$180.40
380,Barbary Coast,5/4/2022,May,$288.00
381,Barbary Coast,5/25/2022,May,$406.00
382,Barbary Coast,6/17/2022,Jun,$360.12
383,Barbary Coast,7/20/2022,Jul,$240.28
384,Barbary Coast,9/28/2022,Sep,"$1,165.22"
385,Barbary Coast,10/4/2022,Oct,($756.00)
386,Barbary Coast,10/5/2022,Oct,$757.05
387,Barbary Coast,10/26/2022,Oct,$684.40
388,BASA,2/17/2022,Feb,$282.00
389,BASA,8/16/2022,Aug,$384.00
390,Bay Care Delivery,2/9/2022,Feb,$180.00
391,Bay Care Delivery,8/31/2022,Aug,$144.00
392,Berkeley Patients Group (BPG),1/4/2022,Jan,$144.00
393,Berkeley Patients Group (BPG),1/11/2022,Jan,$307.19
394,Berkeley Patients Group (BPG),1/18/2022,Jan,$270.24
395,Berkeley Patients Group (BPG),1/25/2022,Jan,$54.48
396,Berkeley Patients Group (BPG),2/1/2022,Feb,$216.48
397,Berkeley Patients Group (BPG),2/8/2022,Feb,$282.00
398,Berkeley Patients Group (BPG),2/15/2022,Feb,$108.00
399,Berkeley Patients Group (BPG),2/22/2022,Feb,$108.00
400,Berkeley Patients Group (BPG),3/1/2022,Mar,$228.00
401,Berkeley Patients Group (BPG),3/8/2022,Mar,$120.00
402,Berkeley Patients Group (BPG),3/29/2022,Mar,$108.00
403,Berkeley Patients Group (BPG),4/5/2022,Apr,$342.00
404,Berkeley Patients Group (BPG),4/12/2022,Apr,$240.00
405,Berkeley Patients Group (BPG),4/19/2022,Apr,$240.00
406,Berkeley Patients Group (BPG),5/3/2022,May,$222.00
407,Berkeley Patients Group (BPG),5/10/2022,May,$60.00
408,Berkeley Patients Group (BPG),5/17/2022,May,$60.00
409,Berkeley Patients Group (BPG),5/24/2022,May,$72.00
410,Berkeley Patients Group (BPG),6/1/2022,Jun,$72.00
411,Berkeley Patients Group (BPG),6/7/2022,Jun,$72.00
412,Berkeley Patients Group (BPG),6/22/2022,Jun,$72.00
413,Berkeley Patients Group (BPG),6/28/2022,Jun,$288.00
414,Berkeley Patients Group (BPG),7/5/2022,Jul,$72.00
415,Berkeley Patients Group (BPG),7/12/2022,Jul,$72.00
416,Berkeley Patients Group (BPG),7/19/2022,Jul,$216.00
417,Berkeley Patients Group (BPG),7/26/2022,Jul,$72.00
418,Berkeley Patients Group (BPG),8/2/2022,Aug,$120.00
419,Berkeley Patients Group (BPG),8/9/2022,Aug,$168.00
420,Berkeley Patients Group (BPG),8/16/2022,Aug,$168.10
421,Berkeley Patients Group (BPG),8/30/2022,Aug,$72.00
422,Berkeley Patients Group (BPG),9/13/2022,Sep,$48.00
423,Berkeley Patients Group (BPG),9/27/2022,Sep,$48.00
424,Berkeley Patients Group (BPG),10/4/2022,Oct,$108.00
425,Berkeley Patients Group (BPG),10/11/2022,Oct,$48.00
426,Berkeley Patients Group (BPG),10/18/2022,Oct,$156.00
427,Berkeley Patients Group (BPG),10/25/2022,Oct,$48.00
428,Berkeley Patients Group (BPG),11/2/2022,Nov,$48.00
429,Berkeley Patients Group (BPG),11/8/2022,Nov,$184.50
430,Beverly Hills Alternative Relief (BARC),1/27/2022,Jan,$0.05
431,Beverly Hills Alternative Relief (BARC),9/29/2022,Sep,$0.02
432,Beverly Hills Alternative Relief (BARC),11/3/2022,Nov,$0.03
433,Beyond Hello - Grover Beach,5/10/2022,May,"$3,247.27"
434,Beyond Hello - Grover Beach,7/5/2022,Jul,$144.00
435,Beyond Hello - Santa Barbara,3/21/2022,Mar,$0.36
436,Beyond Hello - Santa Barbara,4/25/2022,Apr,"$2,750.50"
437,Beyond Hello - Santa Barbara,5/23/2022,May,$180.00
438,Beyond Hello - Santa Barbara,7/5/2022,Jul,$816.00
439,Beyond Hello - Santa Barbara,9/13/2022,Sep,$648.00
440,Beyond Hello - Santa Barbara,10/10/2022,Oct,$432.00
441,Big Sur Cannabotanicals,1/6/2022,Jan,$420.00
442,Big Sur Cannabotanicals,1/11/2022,Jan,$264.00
443,Big Sur Cannabotanicals,1/25/2022,Jan,$219.00
444,Big Sur Cannabotanicals,2/1/2022,Feb,$288.00
445,Big Sur Cannabotanicals,2/15/2022,Feb,$312.16
446,Big Sur Cannabotanicals,2/22/2022,Feb,$180.00
447,Big Sur Cannabotanicals,3/1/2022,Mar,$192.00
448,Big Sur Cannabotanicals,3/8/2022,Mar,$714.00
449,Big Sur Cannabotanicals,3/15/2022,Mar,$132.00
450,Big Sur Cannabotanicals,3/22/2022,Mar,$336.00
451,Big Sur Cannabotanicals,4/5/2022,Apr,$228.00
452,Big Sur Cannabotanicals,4/12/2022,Apr,$120.24
453,Big Sur Cannabotanicals,4/19/2022,Apr,$344.00
454,Big Sur Cannabotanicals,4/26/2022,Apr,$348.00
455,Big Sur Cannabotanicals,5/3/2022,May,$300.00
456,Big Sur Cannabotanicals,5/10/2022,May,$108.00
457,Big Sur Cannabotanicals,5/17/2022,May,$336.00
458,Big Sur Cannabotanicals,5/24/2022,May,$274.34
459,Big Sur Cannabotanicals,6/2/2022,Jun,$144.00
460,Big Sur Cannabotanicals,6/7/2022,Jun,$288.00
461,Big Sur Cannabotanicals,6/14/2022,Jun,$192.00
462,Big Sur Cannabotanicals,6/28/2022,Jun,$288.00
463,Big Sur Cannabotanicals,7/5/2022,Jul,$504.00
464,Big Sur Cannabotanicals,7/12/2022,Jul,$672.18
465,Big Sur Cannabotanicals,7/19/2022,Jul,$288.00
466,Big Sur Cannabotanicals,7/26/2022,Jul,$144.00
467,Big Sur Cannabotanicals,8/2/2022,Aug,$240.00
468,Big Sur Cannabotanicals,8/9/2022,Aug,$144.00
469,Big Sur Cannabotanicals,8/16/2022,Aug,$288.00
470,Big Sur Cannabotanicals,8/23/2022,Aug,$216.00
471,Big Sur Cannabotanicals,8/30/2022,Aug,$288.00
472,Big Sur Cannabotanicals,9/6/2022,Sep,$144.00
473,Big Sur Cannabotanicals,9/13/2022,Sep,$144.00
474,Big Sur Cannabotanicals,9/20/2022,Sep,$288.42
475,Big Sur Cannabotanicals,9/29/2022,Sep,$288.00
476,Big Sur Cannabotanicals,10/4/2022,Oct,$288.03
477,Big Sur Cannabotanicals,10/11/2022,Oct,$360.00
478,Big Sur Cannabotanicals,10/18/2022,Oct,$720.00
