Supplier / Chain / Customer,Rep
Golden Group,Ryan
"Flor X, Inc. - Distro",Ryan
Ojai Greens,Ryan
Boca del Rio Agriculture LLC,Ryan
Cal Green Medical,Ryan
Herb N Joy - Hanford,Ryan
Apothecary,Ryan
Flower Market Delivery,Ryan
Royal Apothecary L.L.C.,Ryan
Highway 29,Ryan
Reese Dreams LLC,Ryan
Butter,Ryan
420 Strains,Ryan
GTI,Ryan
CDXX LLC,Ryan
Riverside Wellness-Guerneville,Ryan
Traditional Pico_2,Ryan
California City Supply,Ryan
"HERBAL COOPERATIVE, INC.",Ryan
Joy Reserve,Ryan
Date Palm (The Vault),Ryan
Firehaus,Ryan
Markt Dispensary,Ryan
SoCal Green Meds,Ryan
Curbstone Exchange,Ryan
Smart Collective,Ryan
The Bank,Ryan
Puff LA,Ryan
Calaveras Little Trees,Ryan
Stash Studio City,Ryan
"Kepos Enterprises, Inc.",Ryan
Euphorium Oakland,Ryan
Green Remedy Collective,Ryan
Strains Dispensary,Ryan
Herban Delivery / Levitating Enterprises INC,Ryan
Organic Greens Collective (OGC Goleta),Ryan
"Social Equity Enterprises, LLC",Ryan
Doja Fields,Ryan
Green Line Delivery,Ryan
Mecca,Ryan
Dr Greenthumb Cat City,Ryan
Cannaco Research Corp,Ryan
"Wholesome Delivery, Inc",Ryan
SEPTEM COMA INC. : South Sacramento Care Center,Ryan
The Blvd,Ryan
Bento Delivery,Ryan
Surf City Original,Ryan
The Heart of Humboldt - Micro,Ryan
KURATED,Ryan
7 Stars Holistic Healing Center,Ryan
A Therapeutic Alternative,Ryan
Bay Leaves,Ryan
California Collective Care,Ryan
Cannadel,Ryan
CHAi / One Plant,Ryan
COCO Farms,Ryan
Connected,Ryan
D & M COMPASSION CENTER,Ryan
Delta Dispensary,Ryan
Dr. Greenthumb DTLA,Ryan
Eco Cannabis - Distro,Ryan
Elevated Delivery,Ryan
Evergreen,Ryan
Evergreen Evolution LLC,Ryan
Exhale Med Center,Ryan
From the Earth,Ryan
Ganjery,Ryan
"Garden State Nectar, Inc.",Ryan
Gilbert Express and Cannabis Express,Ryan
Green Bean,Ryan
Green Cross of Torrance,Ryan
Green Kong,Ryan
Green Remedy,Ryan
Greenwolf,Ryan
Harvest Bloom - Redwood City,Ryan
Haven,Ryan
Hazy Bulldog Farms LLC,Ryan
High Now delivery (Pure CA),Ryan
House of Flowers,Ryan
HPRC - Humboldt,Ryan
Humanity Wellness,Ryan
Humboldt Herb & Market,Ryan
iLyfted,Ryan
Jade Room,Ryan
"Jayden's Journey Cooperative, Inc.",Ryan
"Kase's Journey, Inc",Ryan
Kind Delivery,Ryan
Kind Farma,Ryan
Kiskanu,Ryan
Klover Up,Ryan
Kushagram,Ryan
Kushpharm,Ryan
Life Enhancement Services,Ryan
Lighthouse Dispensary,Ryan
Lytt,Ryan
Mainstage,Ryan
Marygold,Ryan
Med Leaf,Ryan
Medallion Wellness,Ryan
Metro Cannabis Collective,Ryan
Mother Nature's Remedy,Ryan
Movocan,Ryan
Natural Herbal Pain Relief,Ryan
New Age Care Center,Ryan
New life CA,Ryan
No Wait Meds,Ryan
NRC Holistic Health Services Clinic,Ryan
NUG,Ryan
NXTLVL INC.,Ryan
Originals,Ryan
Papa Bear Farm,Ryan
PCC,Ryan
Perfect Union,Ryan
Phog Center LLC - Medicinal,Ryan
Plantshop (Wellmar LLC),Ryan
PR Farms,Ryan
Purple Punch,Ryan
Purple Star MD,Ryan
Rebud,Ryan
Reefside,Ryan
Santa Barbara Care Center,Ryan
SCSA - South coast Safe Access,Ryan
Connected Transportation Partners Inc,TBH
Sespe Creek Collective,Ryan
Cookies Maywood,Jen
Sovereign,Ryan
STC Alternative Healing,Ryan
Sunset Herbal Corner,Ryan
"The Country Club, LLC",Ryan
Cookies Melrose,Jen
Cookies Santa Ana Ventures,Jen
The Farmers Flower,Ryan
The Green Cross,Ryan
The Honor Roll (Urban Buds),Ryan
The Kind Center,Ryan
The Medicine Woman,Ryan
The Plant,Ryan
The Premier Group,Ryan
Cookies Woodland Hills,Jen
The Circle,Karlie
The Reserve SD,Ryan
The Sanctuary,Ryan
Traditional,Ryan
Tree Factory - Port Hueneme,Ryan
TreeO,Ryan
Tropicanna,Ryan
US Bloom,Ryan
Waves (delivery),Ryan
WheelHouse,Ryan
Wings of Wellness (IE &OC),Ryan
Two Rivers Wellness,Ryan
Coast to Coast,Ryan
