Door,Account,Invoice #,Order Date,Status,Day,Week,Month,Quarter,Year,Deal?,SKU,Implied,Discount,Order,# Units,Gross Sales,Net Sales,$ Credit,Net Sales,$ Free,$ Discount,$ Promo
Rise Carson City,GTI,19243,5/3/21,Delivered,5/6/21,18,5,2,2021,Free,Ginger Lemongrass 12oz Single,$0.01,,$0.01,200,$600.00,$2.00,-- ,$2.00,($598),-- ,-- 
Jardin,Jardin,19253,5/5/21,Delivered,5/7/21,18,5,2,2021,Free,Lemon Lavender 8oz Single,$0.01,,$0.01,30,$45.00,$0.30,-- ,$0.30,($45),-- ,-- 
Jardin,Jardin,19253,5/5/21,Delivered,5/7/21,18,5,2,2021,Free,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,40,$60.00,$0.40,-- ,$0.40,($60),-- ,-- 
Jardin,Jardin,19253,5/5/21,Delivered,5/7/21,18,5,2,2021,Free,Ginger Lemongrass 12oz Single,$0.01,,$0.01,30,$90.00,$0.30,-- ,$0.30,($90),-- ,-- 
Jardin,Jardin,19253,5/6/21,Delivered,5/7/21,18,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,48,-- ,$0.48,-- ,$0.48,-- ,-- ,($144)
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,-- ,$900.00,-- ,-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,Free,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,100,$150.00,$1.00,-- ,$1.00,($149),-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,10,$70.00,$70.00,-- ,$70.00,-- ,-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,45,$135.00,$135.00,-- ,$135.00,-- ,-- ,-- 
Essence Durango,GTI,19237,5/3/21,Delivered,5/14/21,19,5,2,2021,Free,Ginger Lemongrass 12oz Single,$0.01,,$0.01,200,$600.00,$2.00,-- ,$2.00,($598),-- ,-- 
Apothecary Shoppe,Apothecary Shoppe,19298,5/10/21,Delivered,5/14/21,19,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Apothecary Shoppe,Apothecary Shoppe,19298,5/10/21,Delivered,5/14/21,19,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Apothecary Shoppe,Apothecary Shoppe,19298,5/10/21,Delivered,5/14/21,19,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
The Dispensary Eastern,The Dispensary,19369,5/13/21,Delivered,5/18/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,48,-- ,$0.48,-- ,$0.48,-- ,-- ,($336)
The Dispensary Eastern,The Dispensary,19369,5/13/21,Delivered,5/18/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,48,-- ,$0.48,-- ,$0.48,-- ,-- ,($144)
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,($900.00),$0.00,-- ,-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,($900.00),$0.00,-- ,-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,($900.00),$0.00,-- ,-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,100,$700.00,$700.00,($700.00),$0.00,-- ,-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,Free,Ginger Lemongrass 12oz Single,$0.01,,$0.01,150,$450.00,$1.50,($1.50),$0.00,($449),-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,Free,Lemon Lavender 8oz Single,$0.01,,$0.01,150,$225.00,$1.50,($1.50),$0.00,($224),-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,Free,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,150,$225.00,$1.50,($1.50),$0.00,($224),-- ,-- 
Essence Strip,GTI,19216,5/3/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,150,-- ,$1.50,($1.50),$0.00,-- ,-- ,($449)
Essence Strip,GTI,19244,5/3/21,Delivered,5/19/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,35,$105.00,$105.00,-- ,$105.00,-- ,-- ,-- 
Pisos,Pisos,19326,5/11/21,Delivered,5/19/21,20,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,36,$324.00,$324.00,-- ,$324.00,-- ,-- ,-- 
Pisos,Pisos,19326,5/11/21,Delivered,5/19/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,36,$324.00,$324.00,-- ,$324.00,-- ,-- ,-- 
Pisos,Pisos,19326,5/11/21,Delivered,5/19/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,24,$72.00,$72.00,-- ,$72.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,19330,5/11/21,Delivered,5/19/21,20,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,57,$513.00,$513.00,-- ,$513.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,19330,5/11/21,Delivered,5/19/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,43,$387.00,$387.00,-- ,$387.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,19330,5/11/21,Delivered,5/19/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,25,$225.00,$225.00,-- ,$225.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,19330,5/11/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,80,-- ,$0.80,-- ,$0.80,-- ,-- ,($559)
The Dispensary Reno,The Dispensary,19330,5/11/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,100,-- ,$1.00,-- ,$1.00,-- ,-- ,($299)
Las Vegas ReLeaf,Las Vegas Releaf,19341,5/11/21,Delivered,5/19/21,20,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Las Vegas ReLeaf,Las Vegas Releaf,19341,5/11/21,Delivered,5/19/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Las Vegas ReLeaf,Las Vegas Releaf,19341,5/11/21,Delivered,5/19/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,16,$144.00,$144.00,-- ,$144.00,-- ,-- ,-- 
Medmen Paradise,MedMen,19361,5/13/21,Delivered,5/19/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,50,$150.00,$150.00,-- ,$150.00,-- ,-- ,-- 
The Dispensary Las Vegas,The Dispensary,19367,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,64,-- ,$0.64,-- ,$0.64,-- ,-- ,($447)
The Dispensary Las Vegas,The Dispensary,19367,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,64,-- ,$0.64,-- ,$0.64,-- ,-- ,($191)
The Dispensary Henderson,The Dispensary,19368,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,150,-- ,$1.50,-- ,$1.50,-- ,-- ,"($1,049)"
The Dispensary Henderson,The Dispensary,19368,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,150,-- ,$1.50,-- ,$1.50,-- ,-- ,($449)
Mynt North,Mynt,19370,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,76,-- ,$0.76,-- ,$0.76,-- ,-- ,($531)
Mynt North,Mynt,19370,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,76,-- ,$0.76,-- ,$0.76,-- ,-- ,($227)
Mynt Downtown,Mynt,19371,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 8oz 4pk,$0.01,,$0.01,82,-- ,$0.82,-- ,$0.82,-- ,-- ,($573)
Mynt Downtown,Mynt,19371,5/13/21,Delivered,5/19/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,82,-- ,$0.82,-- ,$0.82,-- ,-- ,($245)
Medmen DTLV,GTI,19362,5/13/21,Delivered,5/20/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,110,$990.00,$990.00,-- ,$990.00,-- ,-- ,-- 
Medmen DTLV,GTI,19362,5/13/21,Delivered,5/20/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,96,$864.00,$864.00,-- ,$864.00,-- ,-- ,-- 
Medmen DTLV,GTI,19362,5/13/21,Delivered,5/20/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,30,$90.00,$90.00,-- ,$90.00,-- ,-- ,-- 
Medmen Spring Valley,GTI,19363,5/13/21,Delivered,5/20/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,110,$990.00,$990.00,-- ,$990.00,-- ,-- ,-- 
Medmen Spring Valley,GTI,19363,5/13/21,Delivered,5/20/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,25,$225.00,$225.00,-- ,$225.00,-- ,-- ,-- 
Medmen Spring Valley,GTI,19363,5/13/21,Delivered,5/20/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,150,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Essence Rainbow,MedMen,19445,-,Delivered,5/20/21,20,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,-- ,$900.00,-- ,-- ,-- 
Essence Rainbow,MedMen,19445,-,Delivered,5/20/21,20,5,2,2021,Promo,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,150,-- ,$1.50,-- ,$1.50,-- ,-- ,($224)
Essence Rainbow,MedMen,19445,-,Delivered,5/20/21,20,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,100,$700.00,$700.00,-- ,$700.00,-- ,-- ,-- 
Essence Durango,MedMen,19446,-,Delivered,5/20/21,20,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,150,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Essence Durango,MedMen,19446,-,Delivered,5/20/21,20,5,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,150,-- ,$1.50,-- ,$1.50,-- ,-- ,($449)
Rise Carson City,MedMen,19447,-,Delivered,5/20/21,20,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,-- ,$900.00,-- ,-- ,-- 
Rise Carson City,GTI,19447,-,Delivered,5/20/21,20,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,-- ,$900.00,-- ,-- ,-- 
Rise Carson City,GTI,19447,-,Delivered,5/20/21,20,5,2,2021,Promo,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,150,-- ,$1.50,-- ,$1.50,-- ,-- ,($224)
NeWe,NeWe,19235,-,Delivered,5/25/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,20,$180.00,$180.00,-- ,$180.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,35,$315.00,$315.00,-- ,$315.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,20,$140.00,$140.00,-- ,$140.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,40,$120.00,$120.00,-- ,$120.00,-- ,-- ,-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
The Dispensary Eastern,GTI,19500,5/24/21,Delivered,5/27/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
Apothecarium,The Dispensary,19385,5/14/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Apothecarium,Mynt,19385,5/14/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,100,$900.00,$900.00,-- ,$900.00,-- ,-- ,-- 
Apothecarium,Mynt,19385,5/14/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,120,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Apothecarium,Mynt,19385,5/14/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,100,$700.00,$700.00,-- ,$700.00,-- ,-- ,-- 
Green Cannabis ,Mynt,19415,5/14/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,16,$144.00,$144.00,-- ,$144.00,-- ,-- ,-- 
Green Cannabis ,Mynt,19415,5/14/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,12,$108.00,$108.00,-- ,$108.00,-- ,-- ,-- 
Green Cannabis ,Mynt,19415,5/14/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,16,$144.00,$144.00,-- ,$144.00,-- ,-- ,-- 
Green Cannabis ,Mynt,19415,5/14/21,Delivered,5/28/21,21,5,2,2021,Promo,Blood Orange Cardamom 8oz 6pk,$0.01,,$0.01,8,-- ,$0.08,-- ,$0.08,-- ,-- ,($72)
Green Cannabis ,Mynt,19415,5/14/21,Delivered,5/28/21,21,5,2,2021,Promo,Lemon Lavender 8oz 6pk,$0.01,,$0.01,8,-- ,$0.08,-- ,$0.08,-- ,-- ,($72)
Las Vegas ReLeaf,Mynt,19443,5/17/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Las Vegas ReLeaf,Mynt,19443,5/17/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
Las Vegas ReLeaf,Mynt,19443,5/17/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,16,$144.00,$144.00,-- ,$144.00,-- ,-- ,-- 
Rise Spanish Springs,Mynt,19478,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,45,$405.00,$405.00,-- ,$405.00,-- ,-- ,-- 
Rise Spanish Springs,Mynt,19478,5/24/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,20,$180.00,$180.00,-- ,$180.00,-- ,-- ,-- 
Rise Spanish Springs,Mynt,19478,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,60,$180.00,$180.00,-- ,$180.00,-- ,-- ,-- 
Rise Carson City,The Dispensary,19479,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Rise Carson City,The Dispensary,19479,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,80,$720.00,$720.00,-- ,$720.00,-- ,-- ,-- 
Rise Carson City,The Dispensary,19479,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Lemon Lavender 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Rise Carson City,The Dispensary,19479,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Rise Carson City,The Dispensary,19479,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Rise Carson City,The Dispensary,19479,5/25/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Rise Carson City,The Dispensary,19479,5/26/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,40,$280.00,$280.00,-- ,$280.00,-- ,-- ,-- 
Rise Carson City,The Dispensary,19479,5/27/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,110,$330.00,$330.00,-- ,$330.00,-- ,-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,70,$630.00,$630.00,-- ,$630.00,-- ,-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,12,$84.00,$84.00,-- ,$84.00,-- ,-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,100,$300.00,$300.00,-- ,$300.00,-- ,-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Lemon Lavender 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Essence Rainbow,The Dispensary,19480,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,200,$300.00,$2.00,-- ,$2.00,($298),-- ,-- 
Essence Durango,The Dispensary,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,18,$162.00,$162.00,-- ,$162.00,-- ,-- ,-- 
Essence Durango,Apothecarium,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,42,$378.00,$378.00,-- ,$378.00,-- ,-- ,-- 
Essence Durango,Apothecarium,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,25,$225.00,$225.00,-- ,$225.00,-- ,-- ,-- 
Essence Durango,Apothecarium,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,30,$210.00,$210.00,-- ,$210.00,-- ,-- ,-- 
Essence Durango,Apothecarium,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,180,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Essence Durango,Green Cannabis ,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Lemon Lavender 8oz Single,$0.01,,$0.01,80,$120.00,$0.80,-- ,$0.80,($119),-- ,-- 
Essence Durango,Green Cannabis ,19481,5/24/21,Delivered,5/28/21,21,5,2,2021,Free,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,130,$195.00,$1.30,-- ,$1.30,($194),-- ,-- 
Essence Henderson,Green Cannabis ,19484,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,82,$738.00,$738.00,-- ,$738.00,-- ,-- ,-- 
Essence Henderson,Green Cannabis ,19484,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,72,$648.00,$648.00,-- ,$648.00,-- ,-- ,-- 
Essence Henderson,Green Cannabis ,19484,5/24/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,25,$225.00,$225.00,-- ,$225.00,-- ,-- ,-- 
Essence Henderson,Las Vegas Releaf,19484,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,18,$126.00,$126.00,-- ,$126.00,-- ,-- ,-- 
Jenny's Dispensary North Las Vegas,Las Vegas Releaf,19485,5/18/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Jenny's Dispensary North Las Vegas,Las Vegas Releaf,19485,5/18/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Jenny's Dispensary North Las Vegas,GTI,19485,5/18/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
Jenny's Dispensary North Las Vegas,GTI,19485,5/18/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,25,$75.00,$75.00,-- ,$75.00,-- ,-- ,-- 
Jenny's Dispensary North Las Vegas,GTI,19485,5/18/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,$5.40,$5.40,8,$72.00,$43.20,-- ,$43.20,-- ,($29),-- 
Jenny's Dispensary North Las Vegas,GTI,19485,5/23/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,$5.40,$5.40,8,$72.00,$43.20,-- ,$43.20,-- ,($29),-- 
Jenny's Dispensary North Las Vegas,GTI,19485,5/24/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,$5.40,$5.40,4,$36.00,$21.60,-- ,$21.60,-- ,($14),-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,7,$63.00,$63.00,-- ,$63.00,-- ,-- ,-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,50,$450.00,$450.00,-- ,$450.00,-- ,-- ,-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,40,$280.00,$280.00,-- ,$280.00,-- ,-- ,-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,80,$240.00,$240.00,-- ,$240.00,-- ,-- ,-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
The Dispensary Henderson,GTI,19499,5/24/21,Delivered,5/28/21,21,5,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,$6.70,$6.70,20,$180.00,$134.00,-- ,$134.00,-- ,($46),-- 
The Dispensary Las Vegas,GTI,19501,5/24/21,Delivered,5/28/21,21,5,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,21,$189.00,$189.00,-- ,$189.00,-- ,-- ,-- 
The Dispensary Las Vegas,GTI,19501,5/24/21,Delivered,5/28/21,21,5,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,15,$135.00,$135.00,-- ,$135.00,-- ,-- ,-- 
The Dispensary Las Vegas,GTI,19501,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,30,$210.00,$210.00,-- ,$210.00,-- ,-- ,-- 
The Dispensary Las Vegas,GTI,19501,5/24/21,Delivered,5/28/21,21,5,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,50,$150.00,$150.00,-- ,$150.00,-- ,-- ,-- 
