,Name,Delivery,total,variable,value,unit_price,dollar_val
70,Greenleaf,5/26/21,"$1,620.00 ",GR - wholesale,60,9.0,540.0
71,Greenleaf,6/10/21,"$1,080.00 ",GR - wholesale,40,9.0,360.0
73,Summit,7/22/21,"$1,350.00 ",GR - wholesale,50,9.0,450.0
74,Greenleaf,7/29/21,"$1,620.00 ",GR - wholesale,60,9.0,540.0
75,Greenleaf,9/14/20,$360.30 ,LL - promo,10,0.01,0.1
76,Greenleaf,9/28/20,"$2,161.80 ",LL - promo,60,0.01,0.6
77,Greenleaf,10/14/20,$720.60 ,LL - promo,20,0.01,0.2
78,Greenleaf,10/27/20,"$1,080.90 ",LL - promo,30,0.01,0.3
79,Greenleaf,11/16/20,$960.80 ,LL - promo,40,0.01,0.4
80,Summit,11/25/20,$218.31 ,LL - promo,77,0.01,0.77
81,Greenleaf,12/2/20,"$1,080.90 ",LL - promo,30,0.01,0.3
82,Greenleaf,12/16/20,"$1,080.90 ",LL - promo,30,0.01,0.3
84,Greenleaf,1/6/21,"$2,700.75 ",LL - promo,25,0.01,0.25
88,Summit,2/19/21,$522.38 ,LL - promo,12,0.01,0.12
100,Greenleaf,9/14/20,$360.30 ,BOC - promo,10,0.01,0.1
101,Greenleaf,9/28/20,"$2,161.80 ",BOC - promo,60,0.01,0.6
102,Greenleaf,10/14/20,$720.60 ,BOC - promo,20,0.01,0.2
103,Greenleaf,10/27/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
104,Greenleaf,11/16/20,$960.80 ,BOC - promo,40,0.01,0.4
105,Summit,11/25/20,$218.31 ,BOC - promo,77,0.01,0.77
106,Greenleaf,12/2/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
107,Greenleaf,12/16/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
109,Greenleaf,1/6/21,"$2,700.75 ",BOC - promo,25,0.01,0.25
113,Summit,2/19/21,$522.38 ,BOC - promo,13,0.01,0.13
125,Greenleaf,9/14/20,$360.30 ,GR - promo,10,0.01,0.1
126,Greenleaf,9/28/20,"$2,161.80 ",GR - promo,60,0.01,0.6
127,Greenleaf,10/14/20,$720.60 ,GR - promo,20,0.01,0.2
128,Greenleaf,10/27/20,"$1,080.90 ",GR - promo,30,0.01,0.3
130,Summit,11/25/20,$218.31 ,GR - promo,77,0.01,0.77
131,Greenleaf,12/2/20,"$1,080.90 ",GR - promo,30,0.01,0.3
132,Greenleaf,12/16/20,"$1,080.90 ",GR - promo,30,0.01,0.3
134,Greenleaf,1/6/21,"$2,700.75 ",GR - promo,25,0.01,0.25
137,Greenleaf,2/4/21,"$1,200.30 ",GR - promo,30,0.01,0.3
138,Summit,2/19/21,$522.38 ,GR - promo,13,0.01,0.13
141,Greenleaf,3/31/21,"$1,080.17 ",GR - promo,17,0.01,0.17
