state,door,account,Delivery,sales_rep
CA,Herbal Cruz,* Independent Kiva Sales & Service,No,Ryan
CA,Los Angeles Valley Caregivers -LAVC,* Independent Kiva Sales & Service,No,Ryan
CA,March and Ash Vista,March and Ash,No,Karlie
CA,MediThrive,* Independent Kiva Sales & Service,No,Ryan
CA,Sacramento Confidential Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,TreeHouse,* Independent Kiva Sales & Service,No,Ryan
CA,Euphorium Oakland,* Independent Kiva Sales & Service,No,Ryan
CA,Harvest Bloom - Redwood City,* Independent Kiva Sales & Service,No,Ryan
CA,The Artist Tree - Beverly,The Artist Tree,No,Ryan
CA,Cookies Melrose,* Independent Kiva Sales & Service,No,Jen
CA,Green Dot Collective,* Independent Kiva Sales & Service,No,Not In Mapping
CA,Greenhouse Herbal Center,* Independent Kiva Sales & Service,No,Ryan
CA,Pacific Paradise Retailer Corp,* Independent Kiva Sales & Service,No,Ryan
CA,Zenganic,* Independent Kiva Sales & Service,No,Ryan
CA,Berkeley Patients Group (BPG),* Independent Kiva Sales & Service,No,Ryan
CA,Grass Roots,* Independent Kiva Sales & Service,No,Ryan
CA,Harborside,Harborside,No,Karlie
CA,Airfield Supply Co.,* Independent Kiva Sales & Service,No,TBH
CA,Amenta Systems,* Independent Kiva Sales & Service,No,Ryan
CA,Bud and Bloom- Santa Ana,Glass House Group,No,Jen
CA,Dutchman's Flat,* Independent Kiva Sales & Service,No,Ryan
CA,Green Earth Collective,Green Earth,No,Ryan
CA,"LYTT, LLC",* Independent Kiva Sales & Service,No,Ryan
CA,Strains Dispensary,* Independent Kiva Sales & Service,No,Ryan
CA,The Leaf,* Independent Kiva Sales & Service,No,Karlie
CA,Mountain Remedy,* Independent Kiva Sales & Service,No,Ryan
CA,East Bay Therapeutics,N. Azimi,No,Ryan
CA,Hazy Bulldog Farms LLC,* Independent Kiva Sales & Service,No,Ryan
CA,The Green Peakz LLC,* Independent Kiva Sales & Service,No,Ryan
CA,The Prime Leaf,* Independent Kiva Sales & Service,No,Ryan
CA,Dr. Greenthumb - Sacramento,DGT,No,Ryan
CA,Blum San Leandro,BLUM,No,NorCal
CA,Dr Green RX,* Independent Kiva Sales & Service,No,Ryan
CA,Elevated - San Francisco,* Independent Kiva Sales & Service,No,Ryan
CA,"West Cliff Provisions, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,"High Hacks Holdings, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,Klover Up,* Independent Kiva Sales & Service,No,Ryan
CA,Cookies Oakland,Cookies Corp,No,Jen
CA,"The Country Club, LLC",* Independent Kiva Sales & Service,No,Ryan
CA,Calwave Enterprises Inc,* Independent Kiva Sales & Service,No,Ryan
CA,CHAI Cannabis Co - Santa Cruz,CHAi,No,Ryan
CA,Higher Level Seaside,Higher Level,No,Ryan
CA,Phytologie Wellness Center - Micro,* Independent Kiva Sales & Service,No,Ryan
CA,Blunts and Moore,* Independent Kiva Sales & Service,No,Ryan
CA,Flowsent,* Independent Kiva Sales & Service,No,Ryan
CA,Golden State Greens,* Independent Kiva Sales & Service,No,Ryan
CA,Big Sur Cannabotanicals,* Independent Kiva Sales & Service,No,Ryan
CA,Liberty Beach Center,Holistic Health / Liberty,No,TBH
CA,Strain Balboa Caregivers,* Independent Kiva Sales & Service,No,Ryan
CA,The Reef,ShowGrow,No,Ryan
CA,Unified Patients Alliance,* Independent Kiva Sales & Service,No,Ryan
CA,US Bloom,* Independent Kiva Sales & Service,No,Ryan
CA,Captain Jacks,* Independent Kiva Sales & Service,No,Karlie
CA,Society Jane,* Independent Kiva Sales & Service,No,Ryan
CA,The Leonard Moore Cooperative,* Independent Kiva Sales & Service,No,Ryan
CA,Underground Medicinals Inc,* Independent Kiva Sales & Service,No,Ryan
CA,VHHC - Vallejo Holistic Health Center,VHHC,No,Ryan
CA,1841 El Camino (Horizon),* Independent Kiva Sales & Service,No,Ryan
CA,All About Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,Big Moon Sky,* Independent Kiva Sales & Service,No,Ryan
CA,iCANN,Glass House Group,No,Jen
CA,Lemonnade - Sac,Golden Group,No,Ryan
CA,MMD Marina del Rey,MMD,No,Ryan
CA,Perfect Union - Northside,Perfect Union,No,Ryan
CA,Two Rivers Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,La Brea Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Vista TradeCraft,* Independent Kiva Sales & Service,No,Ryan
CA,Barbary Coast,Barbary Group,No,Ryan
CA,Delta Dispensary,* Independent Kiva Sales & Service,No,Ryan
CA,MISSION ORGANIC CENTER,* Independent Kiva Sales & Service,No,Ryan
CA,SPARC Mission,SPARC,No,Ryan
CA,The Spot - Halladay,* Independent Kiva Sales & Service,No,Ryan
CA,Farmhouse Artisan Market,* Independent Kiva Sales & Service,No,Ryan
CA,Plantacea,* Independent Kiva Sales & Service,No,Ryan
CA,AHHS Weho,* Independent Kiva Sales & Service,No,Ryan
CA,Northern Erudite Ventures,* Independent Kiva Sales & Service,No,Ryan
CA,Rebud - GLS,Rebud,No,Ryan
CA,Alpha Core Inc.,* Independent Kiva Sales & Service,No,Ryan
CA,Elevate - Woodland Hills,Elevate - SoCal,No,Ryan
CA,Mercy Wellness - Cotati,Mercy Wellness,No,Ryan
CA,Life Enhancement Services,* Independent Kiva Sales & Service,No,Ryan
CA,The Guild - Micro,* Independent Kiva Sales & Service,No,Ryan
CA,NXTLVL INC.,* Independent Kiva Sales & Service,No,Ryan
CA,2ONE2 California,Cali Distro,No,Ryan
CA,Flora Verde,* Independent Kiva Sales & Service,No,Ryan
CA,Community Gardens - OAKLAND,* Independent Kiva Sales & Service,No,NorCal
CA,California Street Cannabis Co,* Independent Kiva Sales & Service,No,Ryan
CA,McDoestle / Flower Co.,McDoestle,No,N/A DTC
CA,Sherbinskis,Emjay,No,Karlie
CA,The Sanctuary,* Independent Kiva Sales & Service,No,Ryan
CA,One Plant - El Sobrante,CHAi / One Plant,No,Ryan
